topic,label,tweet
david wright,positive,"Happy Captain America Day! David Wright batting 4th tonight. Mets, yo."
zlatan,positive,"@Keith_Russell I don't want it to be but it may be Austin. Obviously prefer Zlatan, muller, Lewandowski etc #mufc"
ted 2,positive,Ted 2 is way funnier then the 1st one
paul dunne,positive,"@SportsCenter Hands down the Irish amateur, Paul Dunne, thrilled the world.  More to come tomorrow!!! #SC3stars   https://t.co/kTYNkltfl6"
jason aldean,positive,Jason Aldean is the greatest artist of all time &amp; then the Bills season opener tomorrow #Lengendary
sarah palin,negative,Sarah Palin may be the only reporter Donald Trump wants to have on his campaign bus because she asks only questions Trump needs her to ask.
kendrick,positive,"Mick Jenkins may be the best rapper alive and this is strong consideration of Kendrick,King Los,Ab-Soul,Big Sean,Vince Staples and others."
jay-z,positive,#FF @innocent - not just for the drinks but for Jay-Z's 99 problems! 99 problems that we may just ponder about at some point in our lives!
tony blair,negative,@SunPolitics he may live to rue those words as tony blair is ruing lying to the country
ant-man,positive,A special Tuesday night movie with nephew today.  We went to see Ant-Man. It was much better than I had anticipated. A nice old school vibe.
sony,positive,"@fakethom Have android tab and don't use phone much, in fact very little. May go the Sony route then:-)"
kendrick,negative,While we're on the topic.... J. Cole &gt; Kendrick   As far as Black Friday is concerned... Go debate ya fat aunt who only wears elastic pants
dana white,positive,'Dana White' appeared on Sunday 13 at the 20th place in the Top20 of Miami's Trends: https://t.co/OZrErVV59x #trndnl
paper towns,positive,Karlie Kloss celebrates 23rd birthday by baking cake: Karlie Kloss at the New York premiere of 'Paper Towns' o... http://t.co/PgdYELzzel
gay,negative,1st half of Hannity: rage at the supreme court for outlawing Jesus with its gay marriage decision. 2nd half: kissing Ted Olson's ass.
niki lauda,positive,"Niki Lauda believes that without the benefit of hindsight, Sunday's Japanese Grand Prix was run the correct way.... http://t.co/VoSQ1U0plN"
kunle afolayan,positive,"Kunle Afolayan did a good job with ""October 1st """
shawn,positive,"Shawn literally is like:""show tomorrow ! Tickets on sale right now go get them "" like thanks for the warning ..."
iron maiden,positive,The side project of Iron Maiden bassist Steve Harris is out on the road! Playing live Bristol Bierkeller 30th... http://t.co/ECl0tqD98t
kris bryant,negative,Need someone to get the April/May Kris Bryant back to Chicago because his at bats are getting worse
saudi arabia,negative,Huge difference isis is killing innocents on the other hand Saudi Arabia kill accused people  https://t.co/6GiB7e0NT2
caitlyn jenner,negative,"Caitlyn Jenner may face manslaughter charges, good get that experiment out of here I'm sick of looking at it"
tvd,positive,TVD is barely on it's 3rd episode of the season and the story is already super damn goooood
super eagles,positive,I am optimistic about coach Sunday Oliseh's ability to turnaround the Super Eagles. We are due an inspirational team.
metlife,positive,@StoryofEleanor_  a few of the pictures I personally took at MetLife on Wednesday. Tried getting you good pics of him http://t.co/oioURLfoQZ
zlatan,positive,Flying to Paris tomorrow morning! First on the agenda is have a croissant and some frog's legs with Zlatan on the Eiffel tower.
rick perry,negative,"Rick Perry may have to drop out of the race, before one vote is cast, because he has run out of money. I have mixed feelings about that."
kris bryant,positive,"Lester goes 8 and 2/3 strong, gives up a run in 9th. Kris Bryant hits a walk off to win, Lester doesn't get the W. Heartbreaking for owners!"
teen wolf,positive,"Random Facts For Wednesday  Here are some random facts for you . . .  1.  ""Back to the Future"" and ""Teen Wolf""... http://t.co/hHwedxSTMX"
brock lesnar,positive,"Can't wait to hear the huge pop for Brock Lesnar tonight, despite the fact that he's facing The Undertaker this Sunday. #RAW"
star wars,positive,Toy collectors &amp; Star Wars Fans may the force guide you to my store to find the Droid you are looking for! #BB8 http://t.co/PzqtbxSmYA
seinfeld,positive,What's with this Twitter account? It's like the Seinfeld episode where they talk about themselves in the 3rd person. https://t.co/jlQIzMGtZR
kris bryant,positive,Kris Bryant singles. That must feel good. B2B singles. Men on 1st and 2nd with one out.
federer,positive,All though Federer will probably obliterate the 4th quarter I think Gasquet 200/1 looks big #usopen
amy schumer,positive,It was a WILD night at @JazzStLouis Jazz at the Bistro. Amy Schumer &amp; cast dug our 2nd set &amp; had a comedy jam- Epic! https://t.co/CrE5Z3e2pr
apple watch,positive,"Get Ready for Apple Watch Now you can start creating experiences for Apple Watch November 18, 2014  http://t.co/qLNEcFgpQc Cool Tech!!!"
barca,positive,"Friends of Barca, I'm off on saturday to travel round Spain so would like to see as many of you as possible... http://t.co/BirDdHrBuf"
twilight,positive,jeonghan looks like one of the characters in twilight wearing that hoodie tho https://t.co/gPaRO5IajL
ps4,positive,@xiCardinal interesting...I just got my PS4 today. We may have to link up at some point before you go back to the dark side!
islam,negative,"You know that tomorrow, with all his ties to radical Islam, that Corbyn will suggest all women wear the burka. You know, just to limit abuse"
carly fiorina,positive,"@businessinsider Donald may not be to fuzzy on idea, but Carly Fiorina might make a good VP. She would help for Obvious reasons!"
chuck norris,positive,@fighttips May you please do a video on how to fight like Bruce lee and chuck Norris
teen wolf,positive,Teen Wolf starts again in January. How the fuck do you expect me to wait that long. #TeenWolf #5B
rahul gandhi,positive,@SummerMerin @Ajitkumar_Kanan it's a huge concern..May God bless and protect Rahul Gandhi.  Please be safe &amp; get more security @OfficeOfRG
kane,positive,Celebrate the Fall Harvest at the Flickerwood Wine Fest September 26 &amp; 27 in Kane http://t.co/iEh9mU6nc2 #thingstodoinPA #fallharvest
katy perry,positive,whos going to katy perry on the 8th?!
nokia,positive,Happy 15th to the Nokia 3310! The best phone ever! :3
paul dunne,positive,Fancy this Paul Dunne at the open at 40/1 would make it a good Monday
harper,negative,"CPC polling 3rd. Hate polls but I want to believe this. As individual CPC candidates come to realize that Harper is drag to them, Distnce?"
boko haram,negative,@Cris_Odu @alkayy May the merciful Lord give them victory over d Boko Haram the murderers
zac brown band,positive,@Naked_InMy_Vans I'll be indy Sunday night of Zac Brown Band concert! But we need to plan a get together with everyone soon
paul dunne,positive,"Hey, no matter what happens to Paul Dunne, he can always say he led @TheOpen at the end of the day on Sunday."
david price,positive,Just did the math and realized that I get to see David Price pitch live next Sunday. Cool! #BlueJays
metlife,positive,Mendez told me he'd drive me to MetLife on Sunday... My reaction: http://t.co/mUa1e0zrdC
murray,positive,Murray has decided to only hit Aces. Already 4 and it's just his 2nd game !!
milan,positive,"The girls will be attending the 2015 @mtvema's in Milan, Italy on October 25th before they take on Europe for their first European Tour!"
ios,positive,Apple releases what the next iPhones and IOS will be like tomorrow
michael jackson,positive,@JusReign my favourite Michael Jackson is the one with the tingalingalingalingashingshongbhungbhaaanng tap tap moonwalk on the sun
national hot dog day,positive,"Section: ""Not a single day without an event""  July 23  Holidays  Children's Day (Indonesia)  National Hot Dog Day... http://t.co/WZEA6wnVjm"
brock lesnar,positive,"One of the Best Promo I've seen in years. Brock Lesnar confronts The Undertaker: Raw, July 20, 2015 https://t.co/2TDJw8e07U via @YouTube@WWE"
scott walker,positive,Scott Walker AND Marco Rubio will be on with us Monday Morning.  You won't want to miss Mondays Radio show.  Love... http://t.co/cUaNaalowE
yakub,negative,#YakubToHang Matter of fate; Yakub to be hanged tomorrow on his b'day. Apart 4rm all v sud nt forget dat he is being paid off 4 his sins.
pride parade,positive,Brian #Burke will serve as grand marshal of the #Calgary Pride Parade on Sunday. http://t.co/UkcOlsSNTD: http://t.co/NjbUJYTEDA
christians,negative,Christians snapchat story makes me want to kill myself..like I feel like a depressed 8th grader going through that emo phase
kris bryant,positive,Kris Bryant's smile when he gets a homer could fuel the sun @KrisBryant_23 @Cubs
frank ocean,positive,my friend is gonna see frank ocean tomorrow and Kanye the day after yall Imma go cry
yakub,negative,@_sabanaqvi btw yakub was a good terrorist !! may he never rest in peace ..
john cena,positive,JOHN CENA!! For the 16th time! #SummerSlam #TitlevsTitle
valentine,positive,"This guy needs an editor, lol. He still thinks Valentine manages the Mets. He has not in about 10 yrs @RantSports http://t.co/UMD4RWQYI0"
kanye west,positive,Get ready for a&amp;#160;serious earworm&amp;#160;infection. A new mashup video&amp;#160;of Kanye West&amp;#160;dancing at the VMAs on Sunday makes it
dean ambrose,positive,Roman Reigns and Dean Ambrose are going to put down The Wyatts this sunday at Summerslam. #WWE #RAW
hulk hogan,positive,montamania doing the Hulk Hogan intro before his 2nd round TKO! Great job last night.... http://t.co/okn2FB5uIu
lexus,positive,So tomorrow is when Lexus are meant to be launching their hover board. Can't wait to see whether it is legit or a PR campaign. #Hoverboard
google+,negative,It looks like Google+ may be on its way out. We can only watch and see over the next few months. It never took off... http://t.co/JpwWhRMEnu
ira,positive,"@YaklDakl Yes,  I understand.      If you put 50 shares in your IRA you may find yourself very glad you did.   even 25 shares.  IMO"
tony blair,negative,"Who killed Gaddafi dissident Ali Abuzeid? Why was the killer never brought to justice?""Tony Blair sold my dad out"" https://t.co/EdH5hDEqdb"
national hot dog day,positive,National Hot Dog Day on Throwback Thursday? All the stars have aligned. @Indians #Indians #TBT #NationalHotDogDay http://t.co/VVqSv7VhWm
dunkin,negative,What's the requirement to work at Dunkin? Complete up to 8th grade? Reasons I hate going there. No people skills.
colts,positive,"Colts defense should dominate the Bengals, and likewise offensively. Excited for Sunday! #ColtsNation #NFL http://t.co/yBDvVcYUlw"
zayn,positive,"Everybody gets happy around Zayn. People get happy, puppies get happy, the sun gets brighter, the nature gets more beautiful"
red sox,positive,@RedSox unbelievable bottom of the 4th! Let go Red Sox! 496 Ortiz! http://t.co/4oS98ehYAH
chris evans,positive,When is Top Gear back on the BBC? New presenter Chris Evans reveals date of show's return: BBC Radio 2 and TFI Friday host discloses ...
mariah carey,positive,"@jaybc_4 like those are you dance moves, Mariah Carey is playing, overly excited for a holiday that won't be here till December... It's you!"
thor,positive,-- Thor helped Jane to get out of the ship. Their plan may begin.] [@AmbitiousFoster ]
john cena,positive,"Admit it. You may hate John Cena, but you know you miss his U.S. open challenges!"
gucci,positive,Photo: Gucci Foamposites Drop Tomorrow. We got the up on our site right now. Go check it out!!!!... http://t.co/QCsw5SQ1n4
justin bieber,negative,"Justin Bieber u may have cool music now but I swear to God if you offer me one more piece of unsolicited ""sage"" advice"
valentine,positive,Hoping to mate going Tuesday! Loads of us going to Blackpool if u can get the pass on Valentine's #priorities https://t.co/r3qPsK67T4
white sox,positive,White Sox take game one of the series in their throwback uniforms 4-2. Blog to come tomorrow! #GoMariners
ps4,positive,"Corpse Party Blood Drive may be coming to PS4, apparently it has a trophy list http://t.co/byVjq7B3iu"
sam smith,positive,We can't wait to hear the new #Bond song by Sam Smith out on September 25th! #SPECTRE https://t.co/bOiXGbhe8T
donald trump,negative,muayad sat through an entire republican ad on youtube and now he's calling donald trump daddy :///
hulk hogan,negative,"Rappers make millions while saying the N word, Hulk Hogan says it and as a result may lose millions."
ac/dc,positive,"Listening to early, live, AC/DC, covering Chuck Berry, while driving a black capri, with the windows down, in the sun. It's a good day."
snoop dogg,positive,Meet Snoop Dogg at Total Wine &amp; More this Sunday - Have you always wanted to rub shoulders with Snoop Dogg? Great ... http://t.co/piutry5b7I
ipad,positive,@pierce hahah. Excited for your live blog tomorrow. I know the rumors are strong but I remain dubious about the iPad pro being announced
@microsoft,positive,Pet adoptions are $10 this Friday @BFAS_LA thanks to @Microsoft @Windows. #Upgradeyourworld with a new best friend! http://t.co/0aI2QiBbCR
kendrick lamar,positive,Kendrick Lamar reminding us all why he's king.  https://t.co/s2EhL2hjKW
david cameron,positive,"@CorinneAM the Sun did not win it for David Cameron.  Nicola Sturgeon is ""wot won it""!"
islam,positive,"442- my brother in Islam, may Allah make the trials of being a revert in this world easy on you. Much love for you"
hulk hogan,positive,"Hulk Hogan sex tape reportedly includes racist tirade: WWE has parted ways with one of their best-known stars.  On Friday, Hulk Hogan..."
josh hamilton,positive,Josh Hamilton catch top of the 7th. #SCtop10
scotus,negative,"@jspoupart @JoeC1776 no. Congress makes laws and the SCOTUS settles disputes. In this case, the 1st Amendment lost."
kpop,negative,@sasakhaise that sucks. I'm forced to listen to Kpop on Thursday class. I guess my cells in brain are going to die out.
muslims,negative,If them fucking Muslims blow a bomb up in London tomorrow then we need to get the lot out of the UK fucking ship them all back #VJday
nirvana,positive,"@oldiesmusiclove  yeah me!!  But I will see you Friday  Keep away from Nirvana, I know what it means when you listen to it!"
kendrick,positive,"The way J-Cole and Kendrick are teasing the world for the their collab album, with Black Friday is just faaaaya!!!"
amazon prime day,positive,"**If you love a great deal-- don't forget Amazon Prime Day is today!    They have ""Black Friday"" type deals.  I... http://t.co/Tp8LQYoLzG"
boko haram,negative,"Chad sentences Boko Haram members to death for June attacks: Recent months, however, have seen the group stage...  http://t.co/698fQZJiSg"
chris evans,positive,"https://t.co/ozTi5f5eFe Elizabeth Olsen never dated Tom Hiddleston, it's actually Chris Evans https://t.co/YTgauHtgcD #ChrisEvans"
zac brown band,positive,Been listening to Zac Brown Band on repeat for the last week. Can't wait till tomorrow! @LilaGolightly @Sschulz45 #ZBBAtFenway
cannavaro,negative,@mperillo86 watching Cannavaro on the 2nd even more embarrassing.
thor,positive,SLTrib's @TrevorPhibbs published this years 1st Class 5A State Ranking - Sons of Thor keep up the excellent work! https://t.co/KeJjF0Phym
u2,positive,"@ZiggoDome any advise on how to get U2 tickets for the 9th, need two GA?"
eid,positive,"@CMShehbaz happy Eid greetings to you too, May Allah bless you"
jason aldean,positive,Heading to Va. Beach tomorrow for Jason Aldean and the Burn It Down Tour? Here's info for you!  Showtimes: (all... http://t.co/WOY5xYigAP
ps4,positive,"no sleep the week of TTK. 24 hour stream of TTK Launch with @GjallarhornRL on PS4, and then Kings Fall Raid on Friday Night. Yasssssss"
packers,negative,Can it be Sunday already. I can't wait to see Cam Newton destroy the Packers. Sorry @BadgerRunner  lol
scott walker,negative,"1st time I'm following a GOP presidential primary closely. Doing it now because of WI's infamous governor and probable felon, Scott Walker."
twilight,positive,"Got bored, so I read Twilight and now I want a vampire bf ugh it's 8th grade all over again :/"
yakub,negative,@narendramodi Citizens are confused on Yakub undoubtedly he is a traitor and 2nd is he is traitor turned informer .... let RAW win.
tory,negative,100% of MSM are 100% compliant with Tory policy. They're all complicit &amp; will share the blame. https://t.co/aDwSKc26Bv
prince george,positive,Royal birthday @ work. Happy 2nd Prince George from all of us across the pond. @ Constitution Park Pool https://t.co/GnqcWRuFt6
sharknado,positive,"I like that there's no messing around in Sharknado, just action. You don't even have to wait 10 mins for the 1st sharky sequence! #OhHellNo"
independence day,positive,"Clearly the battle is for 2nd place, as Bill Pullman's speech in Independence Day cannot be trumped. https://t.co/DqkcvCSjo3"
national ice cream day,positive,"Wondering exactly how crowded Ghirardelli's is going to be today, being National Ice Cream Day and all. Over 4th of July w/e it was a zoo."
game of thrones,positive,"Visual effects work done with ""Image Engine"" for the 5th season of Game of Thrones http://t.co/b5YjXA0Sne"
sam smith,negative,No Nigerian Male artist can feature Sam Smith because they are afraid he may ask them for sex before the recording
national ice cream day,positive,Friends be ready to celebrate National Ice Cream Day tomorrow with Graeters! https://t.co/i88sJg22ke
chelsea,positive,Savoring the last bits of summer before the big S starts tomorrow. #nyckids @ Chelsea Side Water Park https://t.co/TUbGMBZZLA
tom brady,positive,"Tom Brady is the quarterback of all time, no conversation whatsoever. Go debate your blind 5th cousin."
iron maiden,positive,@RoyalMail thanks for nothing Royal Mail. Still waiting for my Iron Maiden cd. Out on the 4th. Still not here. Away for a week now not happy
islam,negative,Truth never hide it fight 4 its right all mughal were cruel and islam is threat 2 human kind https://t.co/rvAzDD4jUm
moto g,positive,@thesammysworld Go with Moto G 3rd Gen http://t.co/CxuEwKryIZ Best phone at this price :)
big brother,positive,I'm going home tomorrow and I better have power at my house by 8pm so I can watch Big Brother
trump,positive,If you treated #Hillary2016 like you did Christie or Trump rather than as a human punching bag she may talk to you. #morningjoe
big brother,positive,BIG Brother tomorrow is going to be so good
white sox,positive,White Sox take the lead on CSN! https://t.co/zSF8WFkCgm
nicki,negative,Do you guys remember that not too long ago Nicki was like one of the most hated artist.. During her Pink Friday album
paper towns,negative,Everyone's excited for Paper Towns releasing tomorrow but take it from me the movie was absolutely horrible
jurassic world,positive,Jurassic World now is the 3rd most grossed film! Nice!
prince george,positive,Happy 2nd Birthday to Prince George II! Wish him a beautiful day on this special day! What a #Cutie #HappyBirthdayPrinceGeorge
packers,positive,@LupitaRubio_ oh man I had the same feeling Sunday when my Packers hung on to beat the Dolphins LOL
ed sheeran,positive,"@CelebsAllNews hello, can you help me out with Ed Sheeran info for Sep 5th ?"
nicki,negative,I'm over here tryna do this work before classes start tomorrow and Nicki is being the shady bitch queen she is and I just lost all focus
thor,positive,"@KevinKimmich Tin, one of the 7 metals known to the ancients was associated with Jupiter/Zeus. Thursday = Thor's day (jueves) is the Tin Day"
teen wolf,positive,Can't believe Teen Wolf is coming back in January. I want to watch it now.
yoga,positive,SUNDAY'S PRACTICES..... I hope you can join us.  8:30am. Hot Yoga w/ Deirdre Trama 9:00am. Open Flow Clarissa... http://t.co/KUASSw5Fon
yakub,negative,"Persons who are favoring Yakub Menen, may be HAPPY on Gurdaspur Attack. Those persons should also be hanged till death along with Yakub."
carly fiorina,negative,Carly Fiorina should probably learn what 'organ harvesting' actually is if she's going to use the term on the Sunday morning talk shows.
yakub,negative,"@TimesOfIndia btw how much money you charged from ""eminent people"" to make Yakub's headline a prominent one ??? https://t.co/z586zvUrsA"
ed sheeran,positive,I'll get up before the sun for only a select few people. Ed Sheeran is definitely one of them. #concertday
jason aldean,positive,"Jason Aldean concert while working from home, I'd say it's a good Friday! #JasonAldeanTODAY"
kris bryant,positive,Can you believe it?! Kris Bryant and the Cubs walk off in the 9th!! 5 in a row!! Lester pitched great and we... http://t.co/ELvEUMLZC8
ira,negative,"We have a ""5th column"" in this country too. When it was the IRA they were called ""sleeper cells"" Who are they now? https://t.co/wWzxaJaR7c"
fleetwood mac,positive,I narrowed it down to a top 3 of: 3rd: Rumors by Fleetwood Mac 2nd: The Libertines by The Libertines (funny enough)
seth rollins,negative,@OfficialPWI BY HAVING Seth Rollins as number 1? All credibility is lost. May be the worst WWE champion in history! WWE owns yall?
muslims,negative,@SolaxScriptura yep. I had a church staffer tell me last night that he outright avoids Muslims for fear he may have to shoot them...
nike,positive,"You may have seen them from Nike Soccer, but now you can have them from Soccer Stop NC! Nike has again innovated... http://t.co/h5ei6g0dcf"
curtis,positive,"4:52 4th | Final media timeout of the game and St. Bonaventure leads Colgate, 51-30. Curtis has tied career high with 12 points."
ira,negative,"@Foxy_Blue 2 lone wolfs 1 in the US the IRA when did they last bomb the UK? The terrorists may kill 1,000's but your ilk are the real danger"
eric church,positive,#CMAfest Keith Urban with Eric Church ...... OMG. I may die
lexus,positive,@Head_Gunner Does Lexus truck Monday mean you got a Lexus this Monday?
yoga,positive,Followed up morning yoga with a little black bear diner. Sunday funday at its finest.
murray,positive,Murray struggling at moment but I think he'll come strong in 3rd &amp; 4th set to take it to decider #USOpen2015
ira,negative,@ukgirlinsf @U2 @FareedZakaria think U2 should stay well out of Ireland 4 a long time = talking about Bloody Sunday as been about the IRA
ed sheeran,positive,"Came 6 hours before the Ed Sheeran concert began,i waited in the hot sun and almost passed out with barely any water.But it was so worth it"
nirvana,positive,"Nirvana won, I'm officially out of commission for the rest of today and tomorrow"
sharknado,positive,George is LIVE tweeting during the premiere of Sharknado 3 tomorrow!  Join in! http://t.co/sPRT4dIn9L
bad blood,positive,We met @aleissacara at our 1st Eat to the Beat event at @LIVE1015 &amp; love her cover of Bad Blood by @taylorswift13 #FF http://t.co/xr7bZfOvGr
gucci,positive,Its Gucci tho....I went from sleeping under cars to buying my 2nd crib. Thanks 4 the push
ric flair,positive,"Just read that there may be a ""RVD Farewell Tour"" similar to the one Ric Flair had up too Wrestlemania 24.... http://t.co/Xs8ASRGOP6"
national ice cream day,positive,National Ice Cream Day is this Sunday. Be prepared to stay healthy with this delicious 3-ingredient recipe. http://t.co/3wa3pRgWld
ant-man,positive,"@FabrecIass I had high expectactions when I watched because everyone was hyping it so much, I knew Ant-Man would be good after 1st trailer"
chuck norris,positive,"When Chuck Norris decides to wake, he makes the sun rise."
beyonce,positive,I wasn't even lit anymore by the time Beyonce came on. Gotta do better tomorrow lol
ice cube,positive,"Since Friday, I've been walking around reciting the lyrics to No Vaseline by Ice Cube. It's like I'm a kid again! Wait..."
the royals,positive,"The Royals have to sweep again, that way the celebration is on a Saturday and not Tuesday or Wednesday."
george osborne,positive,George Osborne asks for Labours support on the welfare bill and by abstaining we essentially said 'go ahead George'  https://t.co/1INhjYXnss
israel,positive,@Israel365pix thank you mr B.Netanyahu may the Lord bless you  and family and Israel and God land's of chosen
tgif,positive,Hahahaha.  I suck at kickball.  Plus I have homework. Tomorrow is TGIF with a 3-day weekend after!
juventus,positive,"BERLIN, Aug 30 (Reuters) - Manchester City made it four wins in a row this season in the Premier League while Italy's Juventus recorded"
murray,positive,"Crew gets a fumble at the 4, Murray and the O can't punch it in. Kick a FG to make it 17-7. May be Murray's team now. Crew has been awesome."
nicki,positive,"after the VMAs last night, Nicki gave me the courage to stand up against my math teacher who wrongfullyy marked me absent last thursday"
paper towns,positive,Paper Towns is amazingly playing in Fremont tomorrow and now I feel obligated to go see it.
charlie hebdo,negative,Make sure to check your sources if you're getting info from social media. Accidental references to Charlie Hebdo.  https://t.co/iZbffHkxBU
star wars,positive,"@OrmQuinn Was it expensive? I'm curious bc I know my brother LOVES collecting toys and he loves STAR WARS, his bday is in November"
kerry,positive,Calling all @RyanSounds Kerry fans he is live this FRIDAY Tickets 0646671555 http://t.co/Im6X3ubzFM
kershaw,positive,"@TylerPoslosky Kershaw was mowing them down in the sixth in Game 4, and got shelled in the 7th. Have to be able to count on your bullpen."
iron maiden,positive,"Getting around to listening to the new and amazing Iron Maiden album, The Book of Souls. Takes me back, way back to when I 1st got into them"
ed sheeran,positive,I just realized that I'm seeing Ed Sheeran in concert on Thursday. Yeah still don't believe it's that close @edsheeran
jason aldean,positive,About to 3rd wheel my dad &amp; his gf tonight but it's so worth it to see kenny Chesney and Jason aldean
caitlyn jenner,negative,Just heard that Caitlyn Jenner may be charged with Manslaughter after being involved in a fata... http://t.co/NJoH5SADoK via @sickipedia
seinfeld,positive,@KaineofTermina So that's a yes and a maybe for this reference. I'm not sure if anyone got the Seinfeld reference Wednesday.
apple,positive,Apple fans: today's the day to watch! #AppleEvent starts at 1pm EST. Watch it live at http://t.co/ReKWeYInd1 http://t.co/ElxJN8FkeU
david bowie,positive,FBOMB #111! December 26th! Arlene's Grocery! The Bombardiers tackle the works of David Bowie plus Natural Born... https://t.co/b8d47WYXTA
snoop dogg,positive,I may be in love with Snoop Dogg
eid,positive,@nurulatiraaah Happy birthday to you old friend! Have a blast and may Allah bless you. Happy Eid and enjoy your roti kaya hahaha
paul dunne,positive,Paul Dunne may be the solo leader very soon....
google+,negative,"@iFicS Honestly- do you actually remember a @YouTube update that DIDN'T make things worse? Well, the upcoming google+ decouple may count."
naruto,positive,@Kellogg181 I've been watching Naruto most of my life.This is the last movie.Of course I'll wait that long besides Oct 10 is Naruto's B-day.
google,negative,"Facebook may have solved mobile, but Google is still struggling with it http://t.co/B5oela5TYx follow==&gt;@djawinet"
naruto,positive,@xL_Harley @Vequal yeh the new episode just got released... Sasuke has the 6th path eyes with sharingan and Naruto has master of senjutsu
thor,positive,I am thankful for @bitchy_antics for pointing out how all the animals in the shop sat up when Thor strided in there!!!! ROFL #Thor
bernie sanders,positive,http://t.co/LBKnH1IhXP May I tell you why it's important to vote for Bernie Sanders TO KEEP MOVING FORWARD? ~ http://t.co/pZX6YZRtch
rahul gandhi,negative,"@le_Sabre Well said. However moron that Rahul Gandhi may be, he deserves that level of security  @AdityaRajKaul"
josh hamilton,positive,"Josh Hamilton's go-ahead RBI in the 11th, opened up the floodgates, as 7 more runs were scored. Texas #Rangers won 11-3 over #Mariners. #MLB"
iphone,positive,"iPhone 6s: Everything you need to know!: Apple's event of the year, which is being held on September 9, has ma... http://t.co/LrIJS2reRb"
charlie hebdo,positive,"Tomorrow's Charlie Hebdo:  ""They have weapons. Screw them, we have champagne!""  The spirit of the French is strong. https://t.co/vteMHYnOjY"
kurt cobain,positive,I really want the Kurt Cobain album coming out in November
kendrick lamar,positive,Kendrick Lamar....Black Friday...raw he went in @PrinceMzi
tony blair,negative,@johngibsononfox @GibsonRadio England's Tony Blair is feeling like Bush and Cheney should be where he may be indicted.  They were illegal.
milan,positive,@HeffronDrive Italy miss you :) x come back as soon as March to Milan! We are waiting only you and @dbeltwrites
ihop,positive,Friday at IHOP it was like 11:30 and I felt like it was 3 in the morning. I was so done.
tgif,positive,TGIF!!! Are you ready? Don't miss The Friday Night House Party w/DJ Tan on The Soul FM tonight at @ 9pm EDT http://t.co/8reiglWzIn
foo fighters,positive,Mon show! Live from the Clock at the Clocktower til 10:49! Stop by for chance to win Foo Fighters tix &amp; new music from Disturbed &amp; Pop Evil!
labor day,positive,Just because you asked for it... LABOR DAY SALES now last until TOMORROW!! There'll be no second chances HURRY UP! http://t.co/2KwGgdbklO
prince george,positive,"@KensingtonRoyal Happy Birthday, Prince George! May your day be filled with love, laughter and happiness."
naruto,positive,"It may (or probably will not) come as a surprise, but Iruka is and has been my favorite character in Naruto since the very beginning."
david wright,positive,St.Lucie Mets take a 5-3 lead to the 7th inning.  David Wright will lead off the bottom of the inning.
joe biden,positive,"Los Angeles Times - Joe Biden may not be at big confab for Democrats, but he dominates the conversation http://t.co/vHJF2ZXOa7"
bernie sanders,positive,"Bernie Sanders @BernieSanders fierce voice for the working class, put some action behind his words Friday... http://t.co/SS098F0Rtw"
beyonce,positive,#KCA #VoteJKT48ID MiLLkeSmooV: I went viral lip syncing in the car to Beyonce on her birthday... Happy Friday!
iran,positive,"India, Iran plan to increase bilateral trade, explore new areas of cooperation at the 18th JCM https://t.co/foYI1uZVLv"
snoop dogg,positive,For my high schoolers : tomorrow if you get approached by anyone you don't want to talk to just tell them your ideal hangout with Snoop Dogg
boko haram,negative,Nigerian Troops have discovered Boko Haram terrorists supply routes: Nigerian troops on Wednesday said it has ... http://t.co/cuNI8nmoua
green day,positive,#Gamlingay folks - Saturday is Gamlingay Green Day! See you all there from 10am: http://t.co/eauWYrE9t9 http://t.co/T9mrFdCbCv
david wright,positive,David Wright comes back tomorrow and that's all I really care about
sarah palin,negative,The interview with Trump and Sarah Palin hurt my soul. I may have lost brain cells.
murray,negative,"Murray with a splendid array of swear words at the end of the 2nd set. Sitting there with the commentator having to say, ""sorry.  sorry."""
israel,positive,"Thank you for the Christmas wishes! May YAHWEH bless and keep you, your family, and the sovereign nation of Israel. #BenjaminNetanyahu"
dustin johnson,positive,"And just like that, an opening hole quad from Dustin Johnson.  Best Thursday/Friday major golfer ever."
ice cube,positive,Remembering how normal it was to see Ice Cube at our high school all the time   Sat right in front of him at a play too lmao
metlife,positive,"it's August 5 in MetLife stadium, stay safe Harry, thinking about you the whole night #HarryBeCareful"
madonna,positive,Interested in serving in the church? There will be  training for Altar Servers in Madonna on September 2 at 6pm #AltarServer #Ramblers #LUC
planned parenthood,negative,"investigative video reveals Planned Parenthood may be committing infanticide, babies born alive, murdered, and sold. ACLJ ""with child"" KJV"
ipad,positive,Can't wait to see the iPad Plus .... #Apple #AppleEvent #TimCook  https://t.co/qiR5JjDdjp
john cena,positive,Listen to John Cena 6th WWE Theme Song - The Time Is Now lmfao might as well listen to it its everywhere https://t.co/RAwqEyv6BE
ryan braun,negative,"@D_J_Harvey I think they may want a guy with back problems. Here, have Ryan Braun!"
u2,positive,The sun starting coming out from underneath the clouds and beautiful day by U2 started playing on the radio. Sometimes life just cooperates
carling cup,negative,@o0ToucH0o we dont care about Carling Cup! Save it for #Looserpool! Yeah we lose also i wont be crying all night long on wednesday night!
floyd mayweather,positive,Floyd Mayweather says Muhammad Ali is the 5th best boxer of all time http://t.co/8QUo4MK1K2 via @cbssports
