topic,label,tweet
ice cube,positive,"['want', 'thank', 'god', 'ice', 'cube', 'friday']"
israel,negative,"['israel', 'use', 'kill', 'arab', 'every', 'israeli', 'soldier', 'kill', 'ratio', 'may', 'reverse', 'hostility', 'hizbollah', 'move', 'beyond', 'word']"
valentine,positive,"['valentine', 'first', 'ptx', 'song', 'ever', 'sit', 'listen', 'make', 'emotional', 'touched', 'heart', 'idk']"
islam,positive,"['people', 'finish', 'quran', 'show', 'light', 'islam', 'still', 'exist', 'even', 'k', 'year', 'may', 'allah', 'help', 'journey']"
ipod,positive,"['day', 'back', 'work', 'terrible', 'week', 'forget', 'ipod', 'security', 'pas', 'lunch']"
michelle obama,positive,"['caller', 'resident', 'obama', 'restriction', 'term', 'would', 'win', 'precursor', 'michelle', 'obama']"
the vamps,negative,"['vamps', 'ticket', 'sale', 'tomorrow', 'go', 'get', 'ticket']"
tsipras,positive,"['difference', 'exactly', 'two', 'month', 'make', 'tsipras', 'face', 'crowd', 'july', 'v', 'sep']"
ps4,positive,"['new', 'eco', 'zombie', 'dlc', 'come', 'tomorrow', 'wait']"
bob marley,positive,"['bob', 'marley', 'playing', 'lab', 'happy', 'saturday']"
big brother,positive,"['look', 'forward', 'big', 'brother', 'find', 'exactly', 'actual', 'fuck', 'happen', 'double', 'eviction', 'episode']"
kendrick,positive,"['black', 'friday', 'kendrick', 'lamar', 'kendrick', 'want']"
rahul gandhi,negative,"['rahul', 'gandhi', 'back', 'home', 'italy', 'may', 'last', 'time', 'go', 'feb', 'hearing', 'next', 'time', 'jail', 'sure']"
justin bieber,positive,"['normally', 'retweet', 'justin', 'bieber', 'time', 'think', 'may', 'worth', 'merry', 'christmas', 'everyone']"
ebola,negative,"['hospital', 'may', 'unable', 'stop', 'spread', 'spread', 'ebola', 'ray', 'kurzweil', 'ttp']"
nicki,negative,"['still', 'think', 'fake', 'always', 'think', 'nicki', 'type', 'call', 'random', 'tuesday', 'award', 'show']"
niall,positive,"['round', 'birthday', 'first', 'get', 'point', 'win', 'dm', 'liam']"
equalizer,positive,"['heysss', 'u', 'owe', 'treat', 'equalizer', 'place', 'star', 'october']"
seth rollins,negative,"['sunday', 'bitch', 'seth', 'rollins', 'hahahahahaha']"
carly fiorina,positive,"['look', 'like', 'carly', 'fiorina', 'go', 'full', 'ginsburg', 'sunday', 'morning', 'news', 'show', 'trump', 'fox', 'lol']"
bobby jindal,negative,"['bobby', 'jindal', 'may', 'care', 'planned', 'parenthood', 'crappy', 'la', 'governor']"
niall,positive,"['want', 'birthday', 'tweet', 'niall']"
ant-man,positive,"['maybe', 'monday', 'go', 'see', 'squad']"
kendrick,positive,"['kendrick', 'talented', 'rapper', 'alive', 'black', 'friday', 'exhaust', 'good', 'way', 'like', 'u', 'keep', 'switch', 'like']"
batman,positive,"['funny', 'may', 'true', 'certainly', 'save', 'parent', 'batman']"
iron maiden,positive,"['superb', 'interview', 'iron', 'bruce', 'dickinson']"
briana,positive,"['dreamt', 'sit', 'couch', 'louis', 'watch', 'show', 'briana', 'come', 'sit', 'run', 'away', 'fast']"
a$ap rocky,negative,"['may', 'ask', 'cool', 'ap', 'rocky']"
twilight,positive,"['sit', 'announcement', 'make', 'one', 'like', 'even', 'trailer', 'twilight', 'princess', 'hd', 'fine']"
yakub,negative,"['become', 'wrong', 'trend', 'protect', 'person', 'punish', 'sc', 'president', 'without', 'thought', 'yakub', 'hang']"
calibraska,positive,"['tomorrow', 'best', 'day', 'life', 'calibraska', 'vidcon', 'never', 'happy']"
national ice cream day,positive,"['tomorrow', 'big', 'day', 'happy', 'national', 'ice', 'cream', 'day']"
john cena,negative,"['john', 'cena', 'joke', 'please', 'hurry', 'retire', 'take', 'little', 'kardashian', 'girlfriend', 'u']"
harry potter,positive,"['like', 'picture', 'harry', 'potter']"
ps4,positive,"['ewoks', 'may', 'stream', 'tonight', 'friend', 'let', 'use', 'cap', 'card', 'night', 'hopefully', 'work', 'stream', 'mad', 'max']"
galaxy note,positive,"['galaxy', 'note', 'may', 'come', 'pen']"
naruto,positive,"['may', 'best', 'pic', 'naruto']"
paul mccartney,positive,"['excited', 'lolla', 'friday', 'many', 'amaze', 'band', 'oh', 'someone', 'name', 'paul', 'mccartney', 'idk', 'good', 'tho']"
tony blair,positive,"['love', 'good', 'bit', 'tony', 'blair', 'shame', 'saturday']"
twilight,positive,"['well', 'twilight', 'wash', 'original', 'colour', 'longer', 'dampen', 'dirt', 'day', 'ahead']"
james rodriguez,positive,"['carlo', 'ancelotti', 'isco', 'important', 'player', 'tomorrow', 'jam', 'rodriguez', 'start', 'rest', 'wednesday']"
dark souls,positive,"['since', 'say', 'bloodborne', 'may', 'good', 'dark', 'soul', 'almighty', 'internal', 'struggle', 'might', 'right']"
lexus,positive,"['miss', 'golden', 'opportunity', 'sale', 'event', 'go', 'lexus', 'september']"
amazon prime,positive,"['whsmith', 'think', 'amazon', 'prime', 'account', 'would', 'get', 'tomorrow']"
david cameron,positive,"['find', 'david', 'cameron', 'relate', 'queen', 'apparently', 'cousin', 'twice', 'remove', 'anyone', 'else', 'know']"
islam,negative,"['may', 'disagree', 'islam', 'dear', 'support']"
national ice cream day,positive,"['good', 'sunday', 'morning', 'welcome', 'national', 'ice', 'cream', 'day', 'warren', 'say', 'lot', 'talk']"
amy schumer,positive,"['amy', 'schumer', 'jerry', 'seinfeld', 'headline', 'show', 'support', 'anniversary', 'baby', 'buggy', 'via']"
kanye west,negative,"['kanye', 'west', 'run', 'president', 'kim', 'k', 'first', 'lady', 'may', 'one', 'bad', 'idea', 'ever', 'hear', 'entire', 'life']"
big brother,positive,"['mean', 'announce', 'utd', 'beat', 'rookie', 'blue', 'utd', 'big', 'brother', 'show', 'well', 'last', 'thursday']"
frank gifford,positive,"['sorry', 'loss', 'beloved', 'husband', 'father', 'kid', 'may', 'see', 'heaven', 'rip', 'frank', 'gifford']"
iron maiden,positive,"['huge', 'midterm', 'tomorrow', 'listen', 'iron', 'maiden', 'help', 'anxiety', 'wanna', 'watch', 'game', 'throne']"
twilight,positive,"['yes', 'buy', 'anniversary', 'edition', 'twilight', 'rewrite', 'book', 'gender', 'character', 'flip']"
national ice cream day,positive,"['celebrate', 'holiday', 'work', 'week', 'also', 'need', 'tomorrow', 'national', 'ice', 'cream', 'day']"
ant-man,positive,"['handsome', 'devil', 'catch', 'screen', 'last', 'time', 'tomorrow']"
national hot dog day,positive,"['sunday', 'national', 'ice', 'cream', 'day', 'tuesday', 'national', 'junk', 'food', 'day', 'thursday', 'national', 'hot', 'dog', 'day', 'hashtags', 'kill', 'u', 'food']"
national hot dog day,positive,"['tomorrow', 'national', 'hot', 'dog', 'day', 'big', 'bite', 'get', 'wiener']"
tsipras,positive,"['tsipras', 'need', 'complete', 'agreement', 'esm', 'ensure', 'receipt', 'reschudeled', 'friday', 'tsipras', 'close', 'well']"
carly fiorina,positive,"['full', 'interview', 'carly', 'fiorina', 'september', 'republican', 'presidential', 'candidate', 'carly', 'fiorina', 'sits', 'fa']"
paper towns,positive,"['go', 'see', 'paper', 'town', 'movie', 'july', 'play', 'liverpool']"
ryan braun,positive,"['congrats', 'ryan', 'braun', 'set', 'franchise', 'mark', 'career', 'home', 'run', 'congrats', 'also', 'save', 'season']"
ant-man,positive,"['fantastic', 'four', 'tomorrow', 'good', 'see']"
rousey,positive,"['rousey', 'fire', 'back', 'may', 'ha', 'love']"
harry potter,positive,"['birthday', 'come', 'would', 'early', 'buy', 'first', 'harry', 'potter', 'book']"
ant-man,positive,"['end', 'thursday', 'see', 'yet']"
ios,positive,"['thank', 'may', 'actually', 'chance', 'io']"
ira,negative,"['ira', 'jail', 'life', 'murder', 'serf', 'two', 'year', 'walk', 'free', 'good', 'friday', 'agreement', 'victim', 'forget', 'wont', 'see', 'justice']"
labor day,positive,"['vice', 'president', 'biden', 'contemplate', 'presidential', 'bid', 'monday', 'kick', 'labor', 'day', 'parade', 'pittsburgh', 'fiery']"
nirvana,positive,"['season', 'sun', 'versi', 'nirvana', 'rancak', 'gak', 'slow', 'rockkk']"
ted 2,positive,"['lazy', 'saturday', 'call', 'ted', 'nap', 'hour', 'intense', 'room', 'clean', 'session', 'one']"
snoop dogg,positive,"['snoop', 'dogg', 'aka', 'snoopadelic', 'friday', 'friday', 'new', 'place', 'tow', 'broadway', 'la']"
naruto,positive,"['want', 'thursday', 'come', 'naruto']"
israel,negative,"['seem', 'fraud', 'desperate', 'cheap', 'shot', 'israel', 'get', 'muslim', 'support', 'state']"
moto g,positive,"['gen', 'moto', 'g', 'solid', 'nokia', 'love', 'stock', 'android', 'moto', 'g']"
watchman,positive,"['tomorrow', 'big', 'day', 'copy', 'reserve', 'go', 'set', 'watchman', 'harper', 'lee', 'sale']"
floyd mayweather,negative,"['floyd', 'mayweather', 'fight', 'september', 'free', 'wonder', 'pick', 'berto']"
bob marley,positive,"['make', 'like', 'bob', 'marley', 'get', 'jammin', 'jam', 'night', 'sun', 'inn', 'saxilby', 'tonight']"
paper towns,positive,"['paper', 'town', 'come', 'tomorrow', 'guess', 'definitely', 'go', 'see', 'guess', 'correct']"
barca,positive,"['personally', 'think', 'utd', 'tell', 'madrid', 'deal', 'go', 'january', 'sell', 'ddg', 'barca']"
david bowie,positive,"['mama', 'come', 'hang', 'jan', 'nasa', 'david', 'bowie', 'purttyyy', 'pleaseee']"
ira,negative,"['seem', 'anti', 'good', 'friday', 'agreement', 'real', 'ira', 'cira', 'bedfellow']"
gay,negative,"['scotus', 'make', 'law', 'gay', 'marriage', 'abortion', 'next', 'logical', 'step', 'redefine', 'amend', 'get', 'ready']"
cate blanchett,positive,"['carol', 'tomorrow', 'pumped', 'cate', 'blanchett', 'sarah', 'freak', 'paulson', 'aka', 'one', 'best', 'actor', 'time']"
welbeck,positive,"['twist', 'ankle', 'ok', 'welbeck', 'may', 'hv', 'pick', 'one', 'happen', 'team']"
ed sheeran,positive,"['like', 'apologize', 'advanced', 'likely', 'long', 'snapchat', 'story', 'tomorrow', 'due', 'fact', 'see', 'ed', 'sheeran']"
sharknado,positive,"['sharknado', 'may', 'best', 'film', 'see', 'yet']"
islam,negative,"['history', 'talk', 'islam', 'god', 'quietly', 'sit', 'laugh']"
gay,negative,"['victim', 'khazarian', 'gay', 'agenda', 'line', 'pic']"
george osborne,negative,"['electorate', 'persists', 'think', 'innumerate', 'george', 'osborne', 'economically', 'astute', 'look', 'like', 'arse']"
murray,positive,"['murray', 'hold', 'love', 'level', 'set', 'pressure', 'straight', 'back', 'anderson', 'long', 'match', 'open']"
twilight,negative,"['twilight', 'may', 'really', 'shitty', 'movie', 'franchise', 'soundtrack', 'good']"
prince george,positive,"['omg', 'happy', 'birthday', 'baby', 'obsessed', 'little', 'monkey', 'prince', 'george', 'stay', 'adorbs', 'cutie']"
nia,positive,"['hahaha', 'find', 'funny', 'happy', 'wednesday', 'friends', 'join', 'u', 'tonight', 'hot', 'vinyasa', 'yoga', 'nia']"
seinfeld,positive,"['tbs', 'play', 'comeback', 'episode', 'seinfeld', 'bust', 'jerk', 'store', 'line', 'tomorrow', 'debate']"
david beckham,positive,"['every', 'male', 'celeb', 'sun', 'please', 'stop', 'underwear', 'advert', 'one', 'care', 'random', 'david', 'beckham']"
ric flair,positive,"['ric', 'flair', 'roddy', 'piper', 'world', 'ric', 'flair', 'one', 'roddy', 'long', 'close', 'fri']"
lexus,positive,"['goodnight', 'everybody', 'back', 'tomorrow', 'morning', 'answer', 'lexus', 'question', 'may', 'k']"
eid,positive,"['eid', 'special', 'video', 'fiction', 'cry', 'baby', 'cry', 'air', 'day', 'eid', 'pm', 'banglavision', 'director', 'mabrur', 'rashid']"
david bowie,positive,"['wanna', 'dress', 'david', 'bowie', 'decade', 'day', 'tomorrow', 'alas', 'money', 'time']"
hannibal,positive,"['dream', 'world', 'hannibal', 'season', 'also', 'look', 'forward', 'hannibal', 'v', 'dexter', 'halloween', 'special', 'lol']"
mariah carey,positive,"['august', 'bedroom', 'w', 'light', 'listen', 'want', 'christmas', 'mariah', 'carey', 'full', 'volume']"
fleetwood mac,positive,"['tell', 'stop', 'like', 'tell', 'fleetwood', 'mac', 'stop', 'think', 'tomorrow', 'never']"
galaxy note,positive,"['galaxy', 'note', 'may', 'never', 'come', 'uk', 'phablet', 'fan', 'mean']"
murray,positive,"['really', 'great', 'match', 'anderson', 'go', 'broke', 'every', 'murray', 'serve', 'murray', 'win', 'rally', 'point']"
tgif,positive,"['tgif', 'watch', 'dawgs', 'play', 'tomorrow', 'forget', 'get', 'swim']"
frank ocean,positive,"['frank', 'ocean', 'best', 'thing', 'music', 'whole', 'album', 'suppose', 'come', 'july', 'august', 'shit', 'break']"
bad blood,positive,"['watch', 'bad', 'blood', 'premiere', 'plan', 'release', 'feel', 'vid', 'tomorrow']"
tom cruise,negative,"['sci', 'article', 'try', 'make', 'prehistoric', 'size', 'relatable', 'call', 'big', 'tom', 'cruise', 'help']"
paul dunne,positive,"['absence', 'paul', 'dunne', 'represent', 'ireland', 'well', 'open', 'amateur', 'since', 'bobby', 'jones', 'lead', 'go', 'final', 'round']"
ryan braun,positive,"['like', 'ryan', 'braun', 'make', 'star', 'game', 'hear', 'hatred', 'assures', 'may', 'brewer', 'life', 'like']"
eric church,positive,"['eric', 'church', 'sings', 'hell', 'heart', 'tomorrow', 'cry', 'doubt']"
ira,positive,"['mindful', 'monday', 'every', 'monday', 'discuss', 'best', 'practice', 'ira', 'investor']"
scotus,negative,"['time', 'scotus', 'violate', 'constitution', 'last']"
floyd mayweather,negative,"['floyd', 'mayweather', 'fight', 'saturday', 'nobody', 'care', 'pick', 'shit', 'opponent', 'fight', 'even', 'sell', 'ticket', 'lol']"
paper towns,positive,"['tomorrow', 'asian', 'frien', 'go', 'cook', 'u', 'go', 'cinema', 'see', 'paper', 'town']"
justin bieber,positive,"['still', 'look', 'one', 'person', 'take', 'justin', 'bieber', 'july', 'please', 'text', 'wanna', 'come']"
nicki,negative,"['nicki', 'dead', 'as', 'sit', 'face', 'lie', 'u', 'meek', 'bye']"
muslims,negative,"['bad', 'let', 'fixate', 'may', 'muslim', 'practice', 'muslim']"
ps4,positive,"['guess', 'finally', 'go', 'buy', 'march']"
delhi police,positive,"['happy', 'know', 'delhi', 'police', 'find', 'today', 'miss', 'girl', 'india', 'gate', 'sept']"
batman,positive,"['prepare', 'fancy', 'dress', 'ballroom', 'party', 'sunday', 'wear', 'mask', 'batman', 'today', 'see', 'much']"
nicki,positive,"['true', 'flap', 'gum', 'glad', 'nicki', 'sit', 'someone', 'need', 'show', 'say', 'foul']"
kpop,positive,"['dance', 'surprise', 'make', 'anniversary', 'show', 'garden', 'bet', 'kpop', 'one', 'replace', 'still', 'get', 'mark']"
israel,negative,"['power', 'israel', 'would', 'go', 'tomorrow', 'morning', 'incha', 'allah']"
scott walker,negative,"['tomorrow', 'scott', 'walker', 'claim', 'defeat', 'isi', 'mislead', 'voter', 'rip', 'teacher']"
obama,positive,"['give', 'usual', 'sense', 'urgency', 'review', 'syrian', 'refugee', 'migrant', 'crisis', 'may']"
david wright,positive,"['describe', 'watch', 'david', 'wright', 'homer', 'ab', 'felt', 'like', 'return']"
frank gifford,positive,"['ill', 'always', 'remember', 'frank', 'gifford', 'call', 'monday', 'night', 'football', 'game']"
paul dunne,positive,"['amateur', 'hour', 'pm', 'paul', 'dunne', 'kick', 'round', 'shrek']"
erdogan,negative,"['erdogan', 'want', 'silence', 'critical', 'medium', 'ahead', 'november', 'election']"
iron maiden,positive,"['buy', 'tomorrow', 'along', 'new', 'iron', 'maiden']"
foo fighters,positive,"['liver', 'need', 'rest', 'go', 'foo', 'fighter', 'concert', 'tomorrow', 'lol']"
frank gifford,positive,"['frank', 'gifford', 'great', 'football', 'player', 'remember', 'use', 'one', 'commentator', 'monday', 'night', 'football']"
tom cruise,positive,"['sd', 'news', 'sd', 'opera', 'figure', 'make', 'tom', 'cruise', 'look', 'good', 'august', 'new', 'yorker', 'piece', 'alex', 'ross', 'say', 'ha']"
bee gees,positive,"['also', 'remind', 'bee', 'gee', 'song', 'saturday', 'night', 'fever', 'soundtrack', 'vibe']"
tegan,negative,"['shock', 'tegan', 'go', 'train', 'tomorrow']"
the vamps,positive,"['wear', 'hot', 'top', 'ever', 'own', 'wednesday', 'see', 'vamp', 'genuinely', 'excited', 'outfit', 'concert']"
chris evans,negative,"['wait', 'see', 'mr', 'partridge', 'back', 'tv', 'tonight', 'even', 'alongside', 'god', 'awful', 'chris', 'evans', 'god', 'awful', 'tfi', 'friday']"
galaxy note,positive,"['samsung', 'prepping', 'thursday', 'see', 'galaxy', 'note', 'galaxy', 'edge', 'officially', 'announce']"
frank ocean,positive,"['know', 'sir', 'writes', 'lot', 'ppl', 'listen', 'seven', 'surprised', 'frank', 'ocean', 'credit']"
paul dunne,positive,"['paul', 'dunne', 'day', 'today', 'brilliant', 'achievement', 'far', 'amateur', 'great', 'see', 'stay', 'touch', 'tomorrow']"
snoop dogg,negative,"['universal', 'make', 'feature', 'focus', 'sequel', 'relation', 'straight', 'outta', 'compton', 'snoop', 'dogg']"
dark souls,positive,"['sick', 'dark', 'souls', 'stream', 'action', 'abledorfenheim', 'legend', 'shall', 'continue', 'tomorrow']"
david bowie,positive,"['listen', 'david', 'bowie', 'he', 'savior', 'like', 'honestly', 'change', 'ur', 'life', 'listen', 'grade', 'ive', 'nvr']"
ben affleck,positive,"['see', 'go', 'girl', 'time', 'obsess', 'movie', 'obsess', 'ben', 'affleck']"
labor day,negative,"['labor', 'day', 'make', 'day', 'behind', 'wednesday', 'feel', 'like', 'tuesday']"
ira,positive,"['litre', 'voddy', 'wednesday', 'start', 'mean', 'go', 'holiday', 'ira']"
kendrick,positive,"['glad', 'kendrick', 'get', 'album', 'year', 'nom', 'weeknd', 'though', 'man']"
joe biden,negative,"['clinton', 'backer', 'tom', 'harkin', 'tell', 'friend', 'joe', 'biden', 'way', 'serve', 'country', 'run', 'time']"
bentley,positive,"['bentley', 'defense', 'shut', 'mode', 'first', 'series', 'mr', 'optimist', 'wonder', 'boiler', 'get', 'play', 'mulligan']"
john cena,positive,"['watch', 'john', 'cena', 'get', 'revenge', 'jon', 'stewart', 'slam', 'ground', 'via', 'yes', 'jon', 'stewart', 'mat']"
jason aldean,positive,"['anyone', 'want', 'go', 'kenny', 'chesney', 'jason', 'aldean', 'concert', 'tomorrow', 'free']"
islam,negative,"['u', 'senator', 'fear', 'turkey', 'may', 'convert', 'tribe', 'islam', 'two', 'u', 'senator', 'montana', 'together', 'pointer', 'sceni']"
zac brown band,positive,"['one', 'possibly', 'two', 'extra', 'ticket', 'see', 'zac', 'brown', 'band', 'tomorrow', 'metlife', 'stadium', 'dope', 'seat', 'want', 'come']"
tory,negative,"['jesus', 'tory', 'government', 'slightly', 'right', 'sun']"
deniesse,positive,"['happy', 'monthsary', 'salamat', 'sa', 'pag', 'support', 'ky', 'ate', 'deniesse', 'love']"
big brother,positive,"['awww', 'miss', 'batch', 'big', 'brother', 'saw', 'nene', 'god', 'age', 'already']"
dana white,negative,"['hahaha', 'imagine', 'dana', 'white', 'may', 'want', 'kill', 'rousey', 'fight']"
twilight,positive,"['talk', 'book', 'grade', 'niece', 'family', 'christmas', 'dystopian', 'fantasy', 'twilight', 'girl', 'must', 'learn']"
grateful dead,positive,"['august', 'celebration', 'year', 'since', 'grateful', 'legendary', 'one']"
iron maiden,positive,"['tomorrow', 'big', 'metal', 'day', 'new', 'iron', 'maiden', 'tune', 'premier', 'course', 'new', 'album', 'purchase', 'love', 'heavy', 'metal']"
ice cube,positive,"['director', 'f', 'gary', 'gray', 'living', 'hotel', 'work', 'music', 'link', 'ice', 'cube', 'friday']"
zac brown band,positive,"['wow', 'consecutive', 'year', 'zac', 'brown', 'band', 'absolutely', 'kill', 'great', 'show']"
ps4,positive,"['welp', 'go', 'need', 'march']"
netflix,positive,"['hot', 'cold', 'rain', 'sun', 'snow', 'clear', 'people', 'always', 'excuse', 'vote', 'online', 'say', 'nah', 'watch', 'netflix']"
jurassic world,positive,"['need', 'go', 'sleep', 'get', 'early', 'tomorrow', 'morning', 'say', 'begin', 'watch', 'jurassic', 'world', 'hundreth', 'time']"
yoga,positive,"['hock', 'hill', 'yoga', 'studio', 'great', 'explore', 'yoga', 'class', 'winery', 'tonight', 'next', 'class', 'thursday']"
amazon,negative,"['may', 'please', 'check', 'pending', 'complaint', 'amazon', 'write', 'many', 'email', 'call', 'customer', 'care']"
kunle afolayan,positive,"['kunle', 'afolayan', 'best', 'october', 'saw', 'best', 'ever', 'movie', 'awesome', 'awesome', 'movie', 'right']"
trump,negative,"['hahaha', 'brilliant', 'go', 'watch', 'btw', 'totally', 'deserve', 'unleash', 'trump', 'world']"
prince george,positive,"['prince', 'george', 'appear', 'tuesday', 'place', 'top', 'trend']"
lexus,positive,"['lexus', 'oct', 'work', 'allege', 'undercover', 'fbi', 'agent', 'midnight', 'note', 'neighbor', 'across', 'street', 'home', 'kenbrook', 'lexus']"
kendrick,positive,"['kendrick', 'drop', 'black', 'friday', 'culture', 'dirty', 'sprite', 'god', 'crowd', 'could', 'even', 'fathom']"
kris bryant,positive,"['kris', 'bryant', 'make', 'october', 'come', 'faster', 'worry', 'everyone']"
kanye west,positive,"['may', 'jason', 'derulo', 'sean', 'kingston', 'kanye', 'west', 'justin', 'timberlake', 'loud', 'music', 'relaxation', 'moment', 'forget', 'world']"
ryan braun,positive,"['ryan', 'braun', 'leadoff', 'triple', 'start', 'casual']"
beyonce,positive,"['sorry', 'go', 'see', 'beyonce', 'tbh']"
niall,positive,"['may', 'call', 'liam', 'dad', 'real', 'niall', 'dad', 'always', 'havin', 'chat', 'people', 'checkin', 'wife', 'fam']"
eric church,positive,"['pit', 'eric', 'acoustic', 'show', 'nashville', 'riverfront', 'tomorrow', 'night', 'guy']"
oracle,positive,"['oct', 'houston', 'try', 'go', 'oracle', 'february']"
coffee,positive,"['beautiful', 'morning', 'coffee', 'go', 'enjoy']"
fleetwood mac,positive,"['listen', 'fleetwood', 'mac', 'research', 'try', 'get', 'time', 'lol', 'productive', 'monday']"
teen wolf,positive,"['omg', 'brc', 'ty', 'doc', 'show', 'luv', 'ty', 'teen', 'wolf', 'fan', 'since', 'air', 'know', 'brc', 'yr']"
david wright,positive,"['captain', 'back', 'david', 'wright', 'set', 'return', 'mets', 'monday', 'versus', 'philadelphia', 'phillies']"
carly fiorina,positive,"['sorry', 'dt', 'jealous', 'carly', 'fiorina', 'time', 'good', 'debate']"
kane,negative,"['agree', 'dude', 'fast', 'wat', 'sell', 'kane', 'worth', 'anything']"
ed sheeran,positive,"['ed', 'sheeran', 'weeknd', 'may', 'best', 'duo', 'yet']"
janet jackson,positive,"['janet', 'jackson', 'cream', 'know', 'unbreakable', 'janet', 'jackson', 'minneapolis', 'live', 'november', 'first', 'target', 'center', 'minneapolis']"
national hot dog day,positive,"['july', 'national', 'hot', 'dog', 'day', 'celebrate', 'garnish']"
iron maiden,positive,"['average', 'saturday', 'get', 'good', 'find', 'almighty', 'iron', 'maiden', 'new', 'video']"
twilight,positive,"['gonna', 'continue', 'watch', 'twilight', 'tomorrow', 'leave', 'rest', 'movie', 'watch', 'yet', 'long', 'time', 'lmao']"
harper,negative,"['harper', 'even', 'realize', 'place', 'talk', 'bury', 'head', 'sand', 'stay', 'course', 'lie', 'deceit']"
sam smith,positive,"['may', 'well', 'bring', 'back', 'life', 'end', 'life', 'sam', 'smith', 'instead']"
muslims,negative,"['talk', 'muslim', 'even', 'allah', 'think', 'evil']"
real madrid,positive,"['benzema', 'football', 'elite', 'real', 'madrid', 'starter', 'place', 'afc', 'league', 'year']"
janet jackson,positive,"['victoria', 'want', 'see', 'janet', 'jackson', 'saturday', 'thanks', 'friend', 'revolution', 'auto', 'group']"
harper,positive,"['idea', 'mets', 'would', 'walk', 'harper', 'out', 'lunacy']"
kendrick lamar,positive,"['song', 'year', 'kendrick', 'lamar', 'momma', 'verse', 'year', 'verse', 'momma', 'understand', 'u', 'know']"
kanye west,positive,"['kanye', 'west', 'honor', 'big', 'way', 'sunday', 'mtv', 'video', 'music', 'award', 'receive', 'michael', 'jackso']"
chris brown,positive,"['director', 'chris', 'brown', 'live', 'today', 'talk', 'app', 'bday', 'dwnloads']"
jeb bush,positive,"['believe', 'defend', 'jeb', 'bush', 'go', 'official', 'language', 'united', 'state', 'america']"
briana,negative,"['shit', 'well', 'fuck', 'end', 'tonight', 'briana', 'want', 'hear', 'anything', 'tomorrow', 'ever']"
paul dunne,positive,"['late', 'paul', 'dunne', 'turn', 'british', 'open', 'amateur', 'hour', 'stunning', 'round', 'ireland']"
frank ocean,negative,"['day', 'august', 'end', 'still', 'sign', 'frank', 'album', 'begin', 'believe', 'lie']"
ac/dc,positive,"['friday', 'start', 'labor', 'day', 'weekend', 'lead', 'zeppelin', 'aerosmith', 'van', 'halen', 'ac', 'dc', 'lava', 'rock']"
amazon,positive,"['go', 'game', 'go', 'crazy', 'whacko', 'probably', 'see', 'amazon', 'still', 'amiibo', 'ed', 'stock', 'tomorrow']"
t-mobile,positive,"['wait', 'saturday', 'go', 'first', 'ever', 'bill', 'game', 'wanna', 'see', 'start']"
muslims,negative,"['four', 'post', 'timeline', 'equate', 'muslim', 'terrorist', 'since', 'august']"
ashton,positive,"['today', 'think', 'r', 'go', 'complete', 'draft', 'destroy', 'ashton', 'officially', 'reinstate', 'happy', 'friday', 'guy']"
madonna,positive,"['warning', 'prepare', 'many', 'madonna', 'tweet', 'tomorrow', 'since', 'opening', 'night']"
paper towns,positive,"['literally', 'cannot', 'freak', 'wait', 'see', 'paper', 'town', 'wednesday', 'know', 'go', 'sooo', 'good']"
nike,positive,"['need', 'figure', 'shoe', 'im', 'go', 'buy', 'tomorrow', 'nike', 'adidas', 'superstar', 'bc', 'brother', 'one', 'want']"
milan,negative,"['remember', 'cat', 'get', 'neuter', 'today', 'tomorrow', 'really', 'feel', 'like', 'drive', 'way', 'milan', 'turn', 'away', 'rip']"
david price,positive,"['david', 'price', 'favor', 'start', 'jay', 'w', 'v', 'pull', 'detroit', 'game', 'closer', 'wc', 'gm', 'back']"
norman reedus,positive,"['happy', 'thursday', 'welcome', 'reminder', 'norman', 'reedus', 'always', 'ridiculously', 'sexy']"
thor,positive,"['thor', 'throw', 'back', 'kind', 'pitcher', 'love']"
tony blair,negative,"['tony', 'blair', 'get', 'invite', 'remembrance', 'sunday', 'invite', 'merchant', 'navy', 'david', 'cameron', 'disgust']"
rick perry,positive,"['true', 'except', 'rick', 'perry', 'swagger', 'trump', 'may', 'point', 'say', 'jeb', 'asleep']"
monster hunter,positive,"['tomorrow', 'new', 'monster', 'hunter', 'shall', 'grand', 'day', 'grand', 'day', 'say']"
star wars,positive,"['force', 'strong', 'family', 'star', 'war', 'force', 'awaken', 'december', 'people']"
jason aldean,positive,"['first', 'time', 'call', 'ask', 'good', 'day', 'plus', 'jason', 'aldean', 'tomorrow']"
national ice cream day,positive,"['national', 'ice', 'cream', 'day', 'tomorrow', 'want', 'check', 'michigan', 'addition']"
nirvana,positive,"['friday', 'listens', 'nevermind', 'nirvana', 'first', 'time', 'could', 'possibly', 'go', 'wrong']"
calibraska,positive,"['gonna', 'pissed', 'end', 'miss', 'release', 'calibraska', 'tomorrow']"
star wars day,positive,"['last', 'night', 'meet', 'today', 'arrest', 'ruin', 'thursday', 'plan', 'boy', 'happy', 'star', 'war', 'day']"
boise state,negative,"['night', 'dream', 'uga', 'beat', 'boise', 'state', 'hope', 'come', 'true']"
frank ocean,positive,"['frank', 'aaliyah', 'cover', 'best', 'get', 'every', 'time', 'song', 'gonna', 'dance', 'song', 'woman', 'marry']"
julie andrews,positive,"['bring', 'back', 'magic', 'christmas', 'santa', 'love', 'julie', 'andrew']"
